file,Essay Type,Country,Level,Elaboration N,Elaboration %,Same-Unit N,Same-Unit %,Attribution N,Attribution %,Joint N,Joint %,Enablement N,Enablement %,Background N,Background %,Comparison N,Comparison %,Contrast N,Contrast %,Manner-Means N,Manner-Means %,Temporal N,Temporal %,Condition N,Condition %,Summary N,Summary %,Cause N,Cause %,Topic-Comment N,Topic-Comment %,Evaluation N,Evaluation %,Explanation N,Explanation %,Textual-Organization N,Textual-Organization %,Topic-Change N,Topic-Change %,total lines
W_TWN_SMK0_082_B1_1.txt.json,Smoking,TWN,B1_1,19,0.44,2,0.05,2,0.05,10,0.23,3,0.07,4,0.09,0,0.0,2,0.05,0,0.0,0,0.0,1,0.02,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,43
W_TWN_SMK0_052_B1_1.txt.json,Smoking,TWN,B1_1,20,0.56,0,0.0,2,0.06,6,0.17,1,0.03,0,0.0,0,0.0,1,0.03,0,0.0,4,0.11,2,0.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,36
W_TWN_SMK0_149_B1_1.txt.json,Smoking,TWN,B1_1,20,0.54,2,0.05,4,0.11,4,0.11,0,0.0,0,0.0,0,0.0,2,0.05,0,0.0,0,0.0,4,0.11,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,37
W_TWN_SMK0_062_B1_1.txt.json,Smoking,TWN,B1_1,11,0.37,4,0.13,5,0.17,4,0.13,0,0.0,0,0.0,0,0.0,3,0.1,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,1,0.03,1,0.03,0,0.0,0,0.0,30
W_TWN_SMK0_036_B1_1.txt.json,Smoking,TWN,B1_1,16,0.59,0,0.0,1,0.04,2,0.07,1,0.04,2,0.07,0,0.0,3,0.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.07,0,0.0,0,0.0,27
W_TWN_PTJ0_026_B1_1.txt.json,Jobs,TWN,B1_1,25,0.54,2,0.04,6,0.13,2,0.04,0,0.0,3,0.07,0,0.0,5,0.11,0,0.0,0,0.0,3,0.07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,46
W_TWN_PTJ0_109_B1_1.txt.json,Jobs,TWN,B1_1,24,0.71,0,0.0,0,0.0,6,0.18,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,2,0.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,34
W_TWN_SMK0_092_B1_1.txt.json,Smoking,TWN,B1_1,16,0.47,2,0.06,5,0.15,2,0.06,1,0.03,4,0.12,0,0.0,1,0.03,0,0.0,0,0.0,1,0.03,0,0.0,1,0.03,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,34
W_TWN_SMK0_064_B1_1.txt.json,Smoking,TWN,B1_1,16,0.48,2,0.06,5,0.15,0,0.0,0,0.0,1,0.03,0,0.0,4,0.12,0,0.0,0,0.0,2,0.06,0,0.0,1,0.03,0,0.0,1,0.03,1,0.03,0,0.0,0,0.0,33
W_TWN_SMK0_129_B1_1.txt.json,Smoking,TWN,B1_1,15,0.52,2,0.07,1,0.03,2,0.07,1,0.03,3,0.1,0,0.0,2,0.07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.1,0,0.0,0,0.0,29
